"","categoryNumber","ComboPhen","comboSD","deComboSD","comboAverage","deComboAverage","timeDifference","diffPercent"
"AM/APC",3,"M",0.0961139488930642,0.118485883694695,8.03817920684815,7.80240159034729,-0.235777616500855,-2.9332216965253
"OM/OPC",3,"M",0.143050991889412,0.364395592723003,8.31669626235962,8.43406558036804,0.117369318008423,1.41124930267831
"HM/HPC",3,"M",0.197023550728668,0.157311607670602,8.38494267463684,8.99010410308838,0.605161428451538,7.2172399017355
"IM/IPC",3,"M",0.150384631797609,0.120670614476842,7.97065472602844,8.29294304847717,0.322288322448731,4.0434359977517
"MG/PCG",3,"M",0.153159626873452,0.228876481514726,8.17175097465515,8.62263097763062,0.450880002975465,5.51754457978319
"AOM/AOPC",4,"M",0.293116214497328,0.783809967523921,8.17242493629456,10.8526178836823,2.6801929473877,32.7955651875698
"AHM/AHPC",4,"M",0.384441613797823,2.25672277286096,9.09024033546448,13.096453332901,4.00621299743652,44.0715850141692
"AIM/AIPC",4,"M",0.0561860440486577,3.75145509592716,8.19624619483948,12.5716799736023,4.37543377876282,53.3833864277732
"OHM/OHPC",4,"M",0.147911262083639,0.366116977685335,9.375861120224,10.4369825363159,1.06112141609192,11.317588885815
"OIM/OIPC",4,"M",0.0671201896155745,1.187277689327,8.72734808921814,10.3255834579468,1.59823536872864,18.312955463563
"HIM/HIPC",4,"M",0.131002467019763,2.57253107269095,9.43605275154114,13.5583138465881,4.122261095047,43.6862870904758
"HMG/HPCG",4,"M",0.147418632581035,0.393408861393546,9.55551686286926,10.3710503101349,0.815533447265624,8.53468691405502
"IMG/IPCG",4,"M",0.0800305094116034,1.41087160156263,8.89638228416443,12.9116561412811,4.0152738571167,45.1337827991485
"AOHM/AOHPC",5,"M",0.496573724662353,1.87602187975121,11.2238182544708,19.2154040813446,7.99158582687378,71.2020245310945
"AOIM/AOIPC",5,"M",0.475989861822908,8.97301682014299,9.95009784698486,29.0716310024261,19.1215331554413,192.17432280061
"AHIM/AHIPC",5,"M",1.81038353674493,109.668879979454,12.9526792049408,293.314612531662,280.361933326721,2164.50920223344
"OHIM/OHIPC",5,"M",0.241723434589112,2.24326752975636,10.8657805919647,14.4306135654449,3.56483297348023,32.8078865877011
"HIMG/HIPCG",5,"M",0.26751823180415,2.45984061366081,10.6079930305481,17.2752970695496,6.66730403900146,62.8517007863925
"AOHIM/AOHIPC",6,"M",19.9108363830204,35.0879255102377,81.1433163642883,119.679379940033,38.5360635757446,47.4913588726632
"HG/AOH",3,"G",0.138001007069108,0.229960847764095,9.02216596603393,9.14012370109558,0.117957735061646,1.30742147180317
"IG/AOI",3,"G",0.0627262825337252,0.147254285397949,8.37919163703918,8.3478816986084,-0.0313099384307858,-0.373662995036228
"PG/AOP",3,"G",0.313479946427369,0.185333376967964,7.5829619884491,8.10664329528809,0.523681306838989,6.90602574082129
"CG/AOC",3,"G",0.151815043972549,0.048856905941469,7.98227767944336,8.14219250679016,0.159914827346802,2.00337339502268
"MG/AOM",3,"G",0.153159626873452,0.293116214497328,8.17175097465515,8.17242493629456,0.000673961639405363,0.00824745689749563
"HIG/AOHI",4,"G",0.120987091551529,0.873955734734221,9.55517387390137,11.0427910804749,1.48761720657349,15.5687089131544
"HPG/AOHP",4,"G",0.125426743662411,0.458378482070327,9.26342191696167,11.278933429718,2.01551151275635,21.7577427739297
"HCG/AOHC",4,"G",0.0731433525196473,0.269000536497554,9.31700797080994,10.1562302589417,0.839222288131715,9.00742267003514
"IPG/AOIP",4,"G",0.166074779294172,5.97920367015561,8.74199576377869,21.5423051834106,12.800309419632,146.423194033888
"ICG/AOIC",4,"G",0.134164229661597,0.509856678753815,8.76568627357483,10.1622117519379,1.39652547836304,15.9317300982243
"PCG/AOPC",4,"G",0.228876481514726,0.783809967523921,8.62263097763062,10.8526178836823,2.22998690605164,25.8620241529159
"HMG/AOHM",4,"G",0.147418632581035,0.496573724662353,9.55551686286926,11.2238182544708,1.66830139160156,17.4590387473882
"IMG/AOIM",4,"G",0.0800305094116034,0.475989861822908,8.89638228416443,9.95009784698486,1.05371556282044,11.8443152414443
"HIPG/AOHIP",5,"G",0.348494785093792,3.97394565592672,10.6484248638153,21.3694567203522,10.7210318565369,100.681856646876
"HICG/AOHIC",5,"G",0.062002443255312,5.78864501677921,10.2005173206329,16.3507915496826,6.15027422904968,60.293748206371
"HPCG/AOHPC",5,"G",0.393408861393546,1.87602187975121,10.3710503101349,19.2154040813446,8.84435377120972,85.2792485498481
"IPCG/AOIPC",5,"G",1.41087160156263,8.97301682014299,12.9116561412811,29.0716310024261,16.159974861145,125.158033054167
"HIMG/AOHIM",5,"G",0.26751823180415,19.9108363830204,10.6079930305481,81.1433163642883,70.5353233337402,664.92618472333
"HIPCG/AOHIPC",6,"G",2.45984061366081,35.0879255102377,17.2752970695496,119.679379940033,102.404082870483,592.77755084737
"-",NA,NA,NA,NA,NA,NA,NA,NA
"MG/AOPC",4,"MG",0.153159626873452,0.783809967523921,8.17175097465515,10.8526178836823,2.6808669090271,32.8065174445705
"HMG/AOHPC",5,"MG",0.147418632581035,1.87602187975121,9.55551686286926,19.2154040813446,9.65988721847534,101.092252330291
"IMG/AOIPC",5,"MG",0.0800305094116034,8.97301682014299,8.89638228416443,29.0716310024261,20.1752487182617,226.78037064767
"HIMG/AOHIPC",6,"MG",0.26751823180415,35.0879255102377,10.6079930305481,119.679379940033,109.071386909485,1028.20002422126
