"","Mean_0","Sd_0","Mean_5","Sd_5","PercentDif_5","Mean_10","Sd_10","PercentDif_10","Mean_20","Sd_20","PercentDif_20"
"twoCategoryNoOutliers",8.11748135884603,0.543272554015418,8.00773896376292,0.549855920742975,1.37045420161322,7.19874918460846,0.428754506730461,12.7623862240109,8.2437401731809,0.489074723317773,-1.53157197682702
"threeCategoryNoOutliers",14.353887720669,4.19698414773651,13.883871957835,5.06448281576561,3.38533634033368,9.10448779639076,0.951107681497439,57.6572789340137,8.80423300827251,0.505048748015788,63.0339372797383
"fourCategoryNoOutliers",243.393290525934,112.521690109029,205.41798158288,162.609952838562,18.4868474757805,32.6148177685945,18.6418364184376,646.265983311127,11.6372886300087,2.39344633942884,1991.49483409996
"fiveCategoryNoOutliers",NA,NA,NA,NA,NA,302.388467327754,214.156528839896,NA,28.4080729075841,23.7352747018295,NA
"sixCategoryNoOutliers",NA,NA,NA,NA,NA,4933.02294912338,NA,NA,119.679379940033,NA,NA
"twoCategoryAll",8.11748135884603,0.543272554015418,8.00773896376292,0.549855920742975,1.37045420161322,7.19874918460846,0.428754506730461,12.7623862240109,8.2437401731809,0.489074723317773,-1.53157197682702
"threeCategoryAll",14.353887720669,4.19698414773651,13.883871957835,5.06448281576561,3.38533634033368,9.10448779639076,0.951107681497439,57.6572789340137,8.80423300827251,0.505048748015788,63.0339372797383
"fourCategoryAll",276.698756519953,196.80636260408,205.41798158288,162.609952838562,34.7003579666241,38.5919021387895,34.4937890873833,616.986572791492,11.6372886300087,2.39344633942884,2277.69093228847
"fiveCategoryAll",NA,NA,NA,NA,NA,2358.03635579944,5049.94071392069,NA,61.5213903605938,96.2019601706153,NA
"sixCategoryAll",NA,NA,NA,NA,NA,4933.02294912338,NA,NA,119.679379940033,NA,NA
